income,utilization,age,default
72450.71229516849,0.28400657198978124,39,1
62926.03548243223,0.2738939030567115,23,1
74715.32807151039,0.42801856484133,60,1
87845.44784612038,0.3103507345578354,45,1
61487.69937914996,0.26791850710868326,59,0
61487.945645762295,0.24803884761470535,31,0
88688.19223261088,0.2067686456167184,56,0
76511.52093729364,0.5854148085347317,34,1
57957.88421097572,0.46645402385892143,61,0
73138.40065378947,0.24790672920407897,45,0
58048.734607813065,0.280693020274623,58,0
58014.05369644615,0.05763268390311378,24,1
68629.43407349051,0.27766819766818607,45,0
36300.79633013303,0.1301033698106648,47,0
39126.23251230451,0.16681018246968066,34,0
56565.68706138541,0.06941409045920074,44,0
49807.53319498364,0.09089767603945392,25,0
69713.70998892911,0.347853337190768,30,0
51379.638867181835,0.06612849631022683,51,0
43815.444479970625,0.4188770407827192,22,1
86984.73153382332,0.20898211276006795,62,1
61613.355492701965,0.253622717382684,35,0
66012.92307031885,0.48945660458678664,63,1
43628.77720679815,0.3866133607586965,58,0
56834.25913212226,0.13363267158315703,32,0
66663.83884564799,0.07272295223887676,30,0
47735.096338665455,0.0777150714706076,24,0
70635.47027518509,0.40380010682312156,42,0
55990.419651217926,0.27289715248097995,63,0
60624.593753100846,0.20578884550592244,27,0
55974.40081655905,0.3742228984843224,61,0
92784.17276763407,0.21804770853912192,33,0
64797.541628930994,0.1408645306934655,29,0
49134.336065661504,0.21067512534850105,35,0
77338.17368154784,0.12770327976394089,61,0
46687.345250434664,0.2211639454271756,41,0
68132.95392507133,0.30875015336480954,35,0
35604.94814180337,0.38143115875047007,55,0
45077.20926652354,0.2385561204887128,39,0
67952.91853803686,0.33101225904841647,24,1
76076.99869993115,0.10252609607165146,32,0
67570.52421784955,0.130827547726528,39,1
63265.27576417639,0.03474454045356212,44,0
60483.444566160666,0.243113800599977,52,0
42822.17014448859,0.07688040759832156,49,0
54202.336874079374,0.24327744985074445,25,0
58090.41843560319,0.4033980845151664,59,0
80856.83339328374,0.4709670552997801,58,1
70154.27434352692,0.10984878080042172,34,0
38554.39766955899,0.3490066111098302,43,0
69861.25954092192,0.28505185410555794,46,0
59223.76579375525,0.20365333327747254,22,0
54846.16999541062,0.2457307165103347,64,0
74175.14433261302,0.4167988729868368,49,1
80464.99283743926,0.4593897069821304,28,0
78969.20178674298,0.7658432638764933,28,1
52411.737151660425,0.42972400604293354,43,1
60361.81436223178,0.28885559827597485,22,0
69968.95147105346,0.3657734001772016,53,0
79633.17690683539,0.2688456099935444,44,0
57812.38643232065,0.6407646073328555,32,1
62215.115350042746,0.2975768423734264,41,0
48404.975389909574,0.030634613743890208,45,0
47056.900638789935,0.3877479668003555,42,0
77187.88733591296,0.1782070767192012,42,0
85343.60042856235,0.18327783779904416,56,1
63919.84817629499,0.07055072235493298,29,0
80052.99346838036,0.5242333739271342,21,1
70424.54037571451,0.40378923847711645,48,1
55323.203680923136,0.132485267173438,53,0
70420.9340826262,0.2678284930299199,47,0
88070.54849698953,0.43553568406047954,22,1
64462.60941335073,0.2370634470784156,36,0
88469.6548372101,0.266660074663682,49,1
25703.823438653835,0.33653175490966686,50,0
77328.53756562836,0.21793157871811022,41,0
66305.70602357257,0.3018715452180656,37,1
60514.88974301198,0.40565974891184253,55,0
66376.41164803253,0.22048153353380145,62,0
35186.466280986606,0.19402051163467743,45,0
61704.92168243732,0.296985464697644,40,0
70356.6885726762,0.3818370865322901,57,0
87168.41067112274,0.47843321590543086,56,0
57225.94672589529,0.5878770636661664,42,1
52872.595956602185,0.4716850803181173,35,1
57473.64434623195,0.3905728347309941,56,0
78731.03176553111,0.2956353175145763,37,1
69931.26664489527,0.379290994101784,30,0
57053.59694349442,0.3985858377208709,31,0
72699.01149670035,0.2669655823671291,31,0
66456.1632402206,0.23684528699841367,53,0
79529.67485799333,0.4877405971067236,52,0
54469.203591839716,0.3649666246839967,23,0
60085.067801033474,0.34355131244261533,42,1
59118.377703017635,0.40690854446345004,26,0
43047.27577801822,0.10054612496305683,42,0
69441.80415596864,0.19806347333988614,42,0
68915.82908269834,0.14422139309011814,35,0
65076.70184963691,0.45251374088225477,26,0
61481.19299937279,0.40671149045164673,48,1
43769.438869243786,0.38977583688897954,44,0
58690.320158519615,0.1856825611814211,52,0
59859.282252098456,0.2977531673746148,58,0
52965.84096167572,0.3897202905766693,26,0
62580.71432500986,0.29817946139326496,43,1
71060.76285221807,0.03732482555234441,49,1
93292.78851815795,0.4889048351519077,41,1
67618.66719247759,0.1946774599734248,55,0
68863.25586084145,0.44431576855657956,55,0
63883.311263507494,0.1479323471194818,28,0
36218.43177051438,0.288675894103825,54,0
64602.291868261746,0.1906096453192185,32,0
65903.45314911539,0.19618408595888648,38,0
101948.6316872793,0.1456710992985199,48,0
62114.58552828316,0.17067320157673113,31,0
69523.21013500419,0.11060964408661687,60,0
64479.32345442135,0.5617379372703534,51,0
47469.82943570702,0.3742372162143228,38,0
82142.34221772531,0.3186330943377934,52,1
76278.99549030162,0.21424891636231339,49,0
76865.47920564571,0.32710792924403154,35,1
51359.18817807892,0.1382765434316976,33,0
86041.91466404148,0.22451177965706828,40,0
43972.234058115784,0.03607882392940362,59,0
73802.85640700406,0.46552548872080574,33,1
97856.83438714968,0.11653529872228796,58,0
50141.955123039676,0.435651292846768,47,1
56505.53405595842,0.4357324417886038,43,0
66494.77047631462,0.12455558017365108,29,0
57447.86518825701,0.15318947615612846,35,0
41740.04853400801,0.2231189611911167,52,0
66028.4446220904,0.22597762939127447,44,1
49065.44429410843,0.4248944922033695,62,1
72103.88645952773,0.18394246970866437,51,0
51208.63648649295,0.4263907272651533,43,0
88249.01607526309,0.08794630972263909,55,0
53251.20061495644,0.16645104785235718,23,0
60169.07725691487,0.17891383299788097,39,1
77202.75826054504,0.3303191515750639,64,0
46537.03525349067,0.2113722002152806,37,0
68411.89901906194,0.38023259932955644,43,0
84607.14131423642,0.04633770291519602,49,0
40887.75148158159,0.5923903269577923,49,1
67769.50787798456,0.4326186862625113,49,1
68898.24191372635,0.2031856531793494,47,0
76727.34307665966,0.25529687013238267,55,0
46445.739336828774,0.6954082876373157,59,0
45193.15080373586,0.07998976461658534,25,0
72829.12348425346,0.5320708620804485,47,0
69454.77009849779,0.3198297220891817,58,0
68757.39275518815,0.3006731568984652,64,0
70196.72314245463,0.24613410785612194,38,0
54799.62917632264,0.08519426371354072,28,0
68483.80545741506,0.47292911870859994,64,0
69396.08709948022,0.38925873617952567,49,0
54284.72872960448,0.2181665636306064,28,0
92986.61766717135,0.18008287438700704,28,0
72107.49381367682,0.28611638672487544,45,1
47130.44754196027,0.4626604513814057,46,1
74848.30412950745,0.12703077559067605,31,0
50379.77494659018,0.15608879688257915,40,1
76806.26905613678,0.47226122313898383,32,1
82378.93368511106,0.11281695513876386,36,0
52689.765224724346,0.32571394823687577,43,0
79450.64193866483,0.1247167654385639,32,0
71191.71390404747,0.38009293007807343,30,0
77330.90239991735,0.07549904838643277,41,0
93451.89473980921,0.5493124320690826,48,0
61319.17825995694,0.06607193539560266,55,0
53693.95753463766,0.14953740122609863,62,0
51657.28355561715,0.11762027876370666,28,0
52762.845725518426,0.2622664703023422,49,0
63843.47435878844,0.7002334328779061,31,0
70117.27962224965,0.31566276393269604,35,0
69150.36198995028,0.2803326154742416,47,0
77407.74873554036,0.3446975589674722,32,1
65195.02837816861,0.2973056201083445,33,1
86803.01115735975,0.14787267061684842,61,0
61030.147501430656,0.15101194688165714,52,0
105802.53749884428,0.28706299369638627,57,0
74385.01021647509,0.14085067351793915,30,0
52142.63665375576,0.5576532626051564,64,1
